species_code,year,length,frequency,fmp_subarea,source
30152,2002,43,5,AI,AI fishery
30152,2002,38,1,AI,AI fishery
30152,2002,37,1,AI,AI fishery
30152,2002,38,1,AI,AI fishery
30152,2002,39,2,AI,AI fishery
30020,2002,42,1,EBS,EBS fishery
30020,2002,49,1,EBS,EBS fishery
30020,2002,50,1,EBS,EBS fishery
30020,2002,52,1,EBS,EBS fishery
30020,2002,54,1,EBS,EBS fishery
30020,2002,60,1,EBS,EBS fishery
30020,2002,61,1,EBS,EBS fishery
30152,2002,38,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,3,AI,AI fishery
30152,2002,27,1,AI,AI fishery
30152,2002,30,1,AI,AI fishery
30152,2002,32,1,AI,AI fishery
30152,2002,34,1,AI,AI fishery
30152,2002,38,1,AI,AI fishery
30152,2002,42,2,AI,AI fishery
30152,2002,43,3,AI,AI fishery
30152,2002,45,2,AI,AI fishery
30152,2002,30,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,42,2,AI,AI fishery
30152,2002,43,2,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,37,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,2,AI,AI fishery
30152,2002,42,5,AI,AI fishery
30152,2002,43,4,AI,AI fishery
30152,2002,44,1,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,1,AI,AI fishery
30152,2002,44,3,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,46,2,AI,AI fishery
30152,2002,47,2,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,44,2,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30152,2002,47,1,AI,AI fishery
30152,2002,49,1,AI,AI fishery
30152,2002,52,1,AI,AI fishery
30152,2002,53,1,AI,AI fishery
30152,2002,43,1,AI,AI fishery
30152,2002,44,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,31,1,AI,AI fishery
30152,2002,33,2,AI,AI fishery
30152,2002,35,3,AI,AI fishery
30152,2002,36,2,AI,AI fishery
30152,2002,37,3,AI,AI fishery
30152,2002,38,2,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,43,2,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,33,1,AI,AI fishery
30152,2002,48,1,EBS,EBS fishery
30152,2002,45,1,AI,AI fishery
30020,2002,22,1,EBS,EBS fishery
30020,2002,26,1,EBS,EBS fishery
30020,2002,27,1,EBS,EBS fishery
30020,2002,29,1,EBS,EBS fishery
30020,2002,31,3,EBS,EBS fishery
30020,2002,34,2,EBS,EBS fishery
30020,2002,35,1,EBS,EBS fishery
30020,2002,27,1,EBS,EBS fishery
30020,2002,28,1,EBS,EBS fishery
30020,2002,30,3,EBS,EBS fishery
30020,2002,31,3,EBS,EBS fishery
30020,2002,33,1,EBS,EBS fishery
30020,2002,35,1,EBS,EBS fishery
30020,2002,37,1,EBS,EBS fishery
30152,2002,40,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,43,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30020,2002,58,1,AI,AI fishery
30020,2002,42,1,AI,AI fishery
30152,2002,38,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,2,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,2,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30020,2002,26,1,EBS,EBS fishery
30020,2002,27,1,EBS,EBS fishery
30020,2002,30,1,EBS,EBS fishery
30020,2002,31,2,EBS,EBS fishery
30020,2002,34,2,EBS,EBS fishery
30020,2002,37,1,EBS,EBS fishery
30020,2002,42,1,EBS,EBS fishery
30020,2002,27,1,EBS,EBS fishery
30020,2002,29,1,EBS,EBS fishery
30020,2002,32,1,EBS,EBS fishery
30020,2002,33,2,EBS,EBS fishery
30020,2002,34,1,EBS,EBS fishery
30020,2002,35,1,EBS,EBS fishery
30020,2002,36,2,EBS,EBS fishery
30020,2002,37,1,EBS,EBS fishery
30020,2002,65,1,EBS,EBS fishery
30020,2002,66,1,EBS,EBS fishery
30152,2002,40,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,1,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30152,2002,37,1,AI,AI fishery
30152,2002,43,3,AI,AI fishery
30152,2002,45,2,AI,AI fishery
30152,2002,47,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,4,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,43,1,AI,AI fishery
30152,2002,36,1,AI,AI fishery
30152,2002,37,1,AI,AI fishery
30152,2002,38,4,AI,AI fishery
30152,2002,39,2,AI,AI fishery
30152,2002,40,2,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30020,2002,26,1,EBS,EBS fishery
30020,2002,35,2,EBS,EBS fishery
30020,2002,37,2,EBS,EBS fishery
30020,2002,38,1,EBS,EBS fishery
30020,2002,48,1,EBS,EBS fishery
30020,2002,21,2,EBS,EBS fishery
30020,2002,22,1,EBS,EBS fishery
30020,2002,26,2,EBS,EBS fishery
30020,2002,27,1,EBS,EBS fishery
30020,2002,30,1,EBS,EBS fishery
30020,2002,32,1,EBS,EBS fishery
30020,2002,35,1,EBS,EBS fishery
30020,2002,39,1,EBS,EBS fishery
30020,2002,40,1,EBS,EBS fishery
30152,2002,43,1,AI,AI fishery
30020,2002,36,1,AI,AI fishery
30020,2002,38,1,AI,AI fishery
30020,2002,39,1,AI,AI fishery
30020,2002,41,1,AI,AI fishery
30020,2002,46,2,AI,AI fishery
30020,2002,48,1,AI,AI fishery
30020,2002,49,1,AI,AI fishery
30020,2002,52,2,AI,AI fishery
30020,2002,21,1,AI,AI fishery
30020,2002,35,1,AI,AI fishery
30020,2002,36,1,AI,AI fishery
30020,2002,38,1,AI,AI fishery
30020,2002,39,1,AI,AI fishery
30020,2002,40,1,AI,AI fishery
30020,2002,43,1,AI,AI fishery
30020,2002,44,1,AI,AI fishery
30020,2002,45,2,AI,AI fishery
30020,2002,29,1,EBS,EBS fishery
30020,2002,31,1,EBS,EBS fishery
30020,2002,32,1,EBS,EBS fishery
30020,2002,33,1,EBS,EBS fishery
30020,2002,34,3,EBS,EBS fishery
30020,2002,35,4,EBS,EBS fishery
30020,2002,37,1,EBS,EBS fishery
30020,2002,30,1,EBS,EBS fishery
30020,2002,31,1,EBS,EBS fishery
30020,2002,32,1,EBS,EBS fishery
30020,2002,34,4,EBS,EBS fishery
30020,2002,32,1,EBS,EBS fishery
30020,2002,39,1,EBS,EBS fishery
30020,2002,42,1,EBS,EBS fishery
30020,2002,43,1,EBS,EBS fishery
30020,2002,30,2,EBS,EBS fishery
30020,2002,34,1,EBS,EBS fishery
30020,2002,35,1,EBS,EBS fishery
30020,2002,36,1,EBS,EBS fishery
30020,2002,37,1,EBS,EBS fishery
30020,2002,38,1,EBS,EBS fishery
30020,2002,41,2,EBS,EBS fishery
30020,2002,31,1,EBS,EBS fishery
30020,2002,32,1,EBS,EBS fishery
30020,2002,30,2,EBS,EBS fishery
30020,2002,31,1,EBS,EBS fishery
30020,2002,33,1,EBS,EBS fishery
30020,2002,34,1,EBS,EBS fishery
30020,2002,35,2,EBS,EBS fishery
30020,2002,36,1,EBS,EBS fishery
30020,2002,37,2,EBS,EBS fishery
30020,2002,38,1,EBS,EBS fishery
30020,2002,41,1,EBS,EBS fishery
30020,2002,42,1,EBS,EBS fishery
30020,2002,44,1,EBS,EBS fishery
30020,2002,45,1,EBS,EBS fishery
30020,2002,46,1,EBS,EBS fishery
30020,2002,44,1,EBS,EBS fishery
30020,2002,45,1,EBS,EBS fishery
30020,2002,61,1,EBS,EBS fishery
30020,2002,34,1,EBS,EBS fishery
30020,2002,45,1,AI,AI fishery
30020,2002,47,1,AI,AI fishery
30020,2002,49,2,AI,AI fishery
30020,2002,51,2,AI,AI fishery
30020,2002,37,1,AI,AI fishery
30020,2002,38,2,AI,AI fishery
30020,2002,41,1,AI,AI fishery
30020,2002,43,1,AI,AI fishery
30020,2002,44,1,AI,AI fishery
30020,2002,48,1,AI,AI fishery
30020,2002,50,1,AI,AI fishery
30020,2002,56,1,AI,AI fishery
30020,2002,58,1,AI,AI fishery
30020,2002,42,1,AI,AI fishery
30020,2002,60,1,AI,AI fishery
30020,2002,33,1,AI,AI fishery
30020,2002,44,2,AI,AI fishery
30020,2002,64,1,AI,AI fishery
30020,2002,32,1,AI,AI fishery
30020,2002,34,2,AI,AI fishery
30020,2002,35,1,AI,AI fishery
30020,2002,36,1,AI,AI fishery
30020,2002,37,2,AI,AI fishery
30020,2002,47,2,AI,AI fishery
30020,2002,31,1,EBS,EBS fishery
30020,2002,43,1,EBS,EBS fishery
30020,2002,45,2,EBS,EBS fishery
30020,2002,46,1,EBS,EBS fishery
30020,2002,52,1,EBS,EBS fishery
30020,2002,54,1,EBS,EBS fishery
30020,2002,34,1,EBS,EBS fishery
30020,2002,39,1,EBS,EBS fishery
30020,2002,41,1,EBS,EBS fishery
30020,2002,42,1,EBS,EBS fishery
30020,2002,43,1,EBS,EBS fishery
30020,2002,46,2,EBS,EBS fishery
30020,2002,48,1,EBS,EBS fishery
30020,2002,34,1,EBS,EBS fishery
30020,2002,39,1,EBS,EBS fishery
30020,2002,40,1,EBS,EBS fishery
30020,2002,44,1,EBS,EBS fishery
30020,2002,45,1,EBS,EBS fishery
30020,2002,49,1,EBS,EBS fishery
30020,2002,54,1,EBS,EBS fishery
30020,2002,67,1,EBS,EBS fishery
30020,2002,41,1,EBS,EBS fishery
30020,2002,44,1,EBS,EBS fishery
30020,2002,45,1,EBS,EBS fishery
30020,2002,46,1,EBS,EBS fishery
30020,2002,49,1,EBS,EBS fishery
30020,2002,50,3,EBS,EBS fishery
30020,2002,51,1,EBS,EBS fishery
30020,2002,52,1,EBS,EBS fishery
30020,2002,54,2,EBS,EBS fishery
30020,2002,56,1,EBS,EBS fishery
30020,2002,44,1,EBS,EBS fishery
30020,2002,46,1,EBS,EBS fishery
30020,2002,47,2,EBS,EBS fishery
30020,2002,49,1,EBS,EBS fishery
30020,2002,44,1,EBS,EBS fishery
30020,2002,46,1,EBS,EBS fishery
30020,2002,47,1,EBS,EBS fishery
30020,2002,48,1,EBS,EBS fishery
30020,2002,51,1,EBS,EBS fishery
30020,2002,54,1,EBS,EBS fishery
30020,2002,46,1,AI,AI fishery
30020,2002,47,1,AI,AI fishery
30020,2002,49,4,AI,AI fishery
30020,2002,50,1,AI,AI fishery
30020,2002,51,1,AI,AI fishery
30020,2002,52,2,AI,AI fishery
30020,2002,53,1,AI,AI fishery
30020,2002,55,1,AI,AI fishery
30020,2002,46,1,AI,AI fishery
30020,2002,51,2,AI,AI fishery
30020,2002,55,1,AI,AI fishery
30020,2002,57,1,AI,AI fishery
30020,2002,33,1,AI,AI fishery
30020,2002,34,1,AI,AI fishery
30020,2002,36,1,AI,AI fishery
30020,2002,37,3,AI,AI fishery
30020,2002,38,2,AI,AI fishery
30020,2002,39,1,AI,AI fishery
30020,2002,40,1,AI,AI fishery
30020,2002,41,2,AI,AI fishery
30020,2002,44,1,AI,AI fishery
30020,2002,50,2,AI,AI fishery
30020,2002,53,2,AI,AI fishery
30020,2002,56,1,AI,AI fishery
30020,2002,57,2,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30020,2002,59,1,AI,AI fishery
30020,2002,40,1,AI,AI fishery
30020,2002,42,2,AI,AI fishery
30020,2002,44,2,AI,AI fishery
30020,2002,48,1,AI,AI fishery
30020,2002,49,1,AI,AI fishery
30020,2002,50,2,AI,AI fishery
30020,2002,51,1,AI,AI fishery
30020,2002,53,1,AI,AI fishery
30020,2002,56,1,AI,AI fishery
30020,2002,39,1,AI,AI fishery
30020,2002,41,2,AI,AI fishery
30020,2002,44,1,AI,AI fishery
30020,2002,45,3,AI,AI fishery
30020,2002,49,1,AI,AI fishery
30020,2002,50,1,AI,AI fishery
30020,2002,62,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30020,2002,21,1,AI,AI fishery
30020,2002,21,1,AI,AI fishery
30020,2002,28,1,AI,AI fishery
30020,2002,29,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,42,3,AI,AI fishery
30152,2002,44,2,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,3,AI,AI fishery
30152,2002,44,5,AI,AI fishery
30152,2002,48,1,AI,AI fishery
30152,2002,49,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,4,AI,AI fishery
30152,2002,44,2,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,1,AI,AI fishery
30152,2002,44,2,AI,AI fishery
30152,2002,45,2,AI,AI fishery
30152,2002,47,1,AI,AI fishery
30152,2002,48,1,AI,AI fishery
30020,2002,38,1,AI,AI fishery
30020,2002,41,1,AI,AI fishery
30020,2002,42,2,AI,AI fishery
30020,2002,43,2,AI,AI fishery
30020,2002,48,1,AI,AI fishery
30020,2002,50,1,AI,AI fishery
30020,2002,52,2,AI,AI fishery
30020,2002,53,1,AI,AI fishery
30020,2002,58,1,AI,AI fishery
30020,2002,59,1,AI,AI fishery
30020,2002,38,1,AI,AI fishery
30020,2002,40,1,AI,AI fishery
30020,2002,41,2,AI,AI fishery
30020,2002,48,1,AI,AI fishery
30020,2002,49,1,AI,AI fishery
30020,2002,62,1,AI,AI fishery
30020,2002,33,1,AI,AI fishery
30020,2002,37,1,AI,AI fishery
30020,2002,38,2,AI,AI fishery
30020,2002,39,1,AI,AI fishery
30020,2002,44,1,AI,AI fishery
30020,2002,45,2,AI,AI fishery
30020,2002,46,1,AI,AI fishery
30020,2002,47,1,AI,AI fishery
30020,2002,50,1,AI,AI fishery
30020,2002,54,1,AI,AI fishery
30020,2002,41,1,AI,AI fishery
30020,2002,42,1,AI,AI fishery
30020,2002,44,1,AI,AI fishery
30020,2002,47,2,AI,AI fishery
30020,2002,49,1,AI,AI fishery
30020,2002,50,1,AI,AI fishery
30020,2002,60,1,AI,AI fishery
30152,2002,37,1,AI,AI fishery
30152,2002,38,2,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,3,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,2,AI,AI fishery
30152,2002,44,2,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,4,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,5,AI,AI fishery
30152,2002,44,1,AI,AI fishery
30020,2002,40,1,AI,AI fishery
30020,2002,28,1,AI,AI fishery
30152,2002,37,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,2,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,36,1,AI,AI fishery
30152,2002,39,2,AI,AI fishery
30020,2002,37,1,AI,AI fishery
30020,2002,38,1,AI,AI fishery
30020,2002,43,1,AI,AI fishery
30020,2002,46,1,AI,AI fishery
30020,2002,47,1,AI,AI fishery
30020,2002,49,1,AI,AI fishery
30020,2002,51,2,AI,AI fishery
30020,2002,52,1,AI,AI fishery
30020,2002,54,1,AI,AI fishery
30020,2002,67,1,AI,AI fishery
30020,2002,38,1,AI,AI fishery
30020,2002,39,1,AI,AI fishery
30020,2002,42,1,AI,AI fishery
30020,2002,44,1,AI,AI fishery
30020,2002,46,1,AI,AI fishery
30020,2002,47,1,AI,AI fishery
30020,2002,49,2,AI,AI fishery
30020,2002,51,1,AI,AI fishery
30152,2002,41,2,AI,AI fishery
30152,2002,43,4,AI,AI fishery
30152,2002,44,3,AI,AI fishery
30152,2002,47,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,2,AI,AI fishery
30152,2002,42,2,AI,AI fishery
30152,2002,43,1,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,41,3,AI,AI fishery
30152,2002,42,2,AI,AI fishery
30152,2002,43,2,AI,AI fishery
30152,2002,44,2,AI,AI fishery
30152,2002,45,2,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30152,2002,49,1,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,2,AI,AI fishery
30152,2002,44,2,AI,AI fishery
30152,2002,47,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,44,2,AI,AI fishery
30152,2002,45,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,4,AI,AI fishery
30152,2002,43,3,AI,AI fishery
30152,2002,45,2,AI,AI fishery
30152,2002,47,1,AI,AI fishery
30152,2002,42,3,AI,AI fishery
30152,2002,47,1,AI,AI fishery
30152,2002,37,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,49,1,AI,AI fishery
30152,2002,39,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,2,AI,AI fishery
30152,2002,42,4,AI,AI fishery
30152,2002,43,2,AI,AI fishery
30152,2002,44,4,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,2,AI,AI fishery
30152,2002,42,2,AI,AI fishery
30152,2002,43,4,AI,AI fishery
30152,2002,44,1,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30020,2002,49,1,AI,AI fishery
30020,2002,51,1,AI,AI fishery
30020,2002,32,1,AI,AI fishery
30020,2002,33,1,AI,AI fishery
30020,2002,41,1,AI,AI fishery
30020,2002,43,1,AI,AI fishery
30020,2002,44,2,AI,AI fishery
30020,2002,46,1,AI,AI fishery
30020,2002,48,1,AI,AI fishery
30020,2002,53,1,AI,AI fishery
30020,2002,59,1,AI,AI fishery
30020,2002,36,2,AI,AI fishery
30020,2002,37,1,AI,AI fishery
30020,2002,38,2,AI,AI fishery
30020,2002,43,2,AI,AI fishery
30020,2002,46,1,AI,AI fishery
30152,2002,38,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,1,AI,AI fishery
30152,2002,42,2,AI,AI fishery
30152,2002,44,1,AI,AI fishery
30152,2002,40,1,AI,AI fishery
30152,2002,41,3,AI,AI fishery
30152,2002,42,2,AI,AI fishery
30152,2002,43,1,AI,AI fishery
30152,2002,44,3,AI,AI fishery
30152,2002,46,1,AI,AI fishery
30152,2002,47,2,AI,AI fishery
30152,2002,48,1,AI,AI fishery
30152,2002,40,2,AI,AI fishery
30152,2002,42,1,AI,AI fishery
30152,2002,43,2,AI,AI fishery
30152,2002,44,2,AI,AI fishery
